,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,SAU,2019
1,IDN,Growing maize industry,XAM,0.00036297948494249744,SAU,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,SAU,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0007358825279031269,SAU,2019
4,IDN,Growing rice industry,XAM,1.3404609678439683e-06,SAU,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,SAU,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,SAU,2019
7,IDN,Growing tobacco industry,XAM,3.319985742797159e-05,SAU,2019
8,IDN,Growing fibre crops industry,XAM,1.9194380246736644e-06,SAU,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,SAU,2019
10,IDN,Growing grapes industry,XAM,0.0,SAU,2019
11,IDN,Growing fruits and nuts industry,XAM,0.00017296142491293303,SAU,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.620425853779641e-05,SAU,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,7.310441342366895e-05,SAU,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,SAU,2019
15,IDN,Raising of cattle industry,XAM,0.00013148482280256368,SAU,2019
16,IDN,Growing wheat industry,XEU,0.0,SAU,2019
17,IDN,Growing maize industry,XEU,0.00010581434846437503,SAU,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,SAU,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.000191043271998286,SAU,2019
20,IDN,Growing rice industry,XEU,3.356303851655023e-07,SAU,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,SAU,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,SAU,2019
23,IDN,Growing tobacco industry,XEU,8.461054232879752e-06,SAU,2019
24,IDN,Growing fibre crops industry,XEU,5.03977139608275e-07,SAU,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,SAU,2019
26,IDN,Growing grapes industry,XEU,0.0,SAU,2019
27,IDN,Growing fruits and nuts industry,XEU,4.368354051686999e-05,SAU,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,6.82449486631167e-06,SAU,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,1.295401941273328e-05,SAU,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,SAU,2019
31,IDN,Raising of cattle industry,XEU,3.2172036602263046e-05,SAU,2019
32,IDN,Growing wheat industry,XAF,0.0,SAU,2019
33,IDN,Growing maize industry,XAF,0.000553335631655938,SAU,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,SAU,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0008610179263744238,SAU,2019
36,IDN,Growing rice industry,XAF,1.5843699897791895e-06,SAU,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,SAU,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,SAU,2019
39,IDN,Growing tobacco industry,XAF,3.679934349725604e-05,SAU,2019
40,IDN,Growing fibre crops industry,XAF,2.095069692559381e-06,SAU,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,SAU,2019
42,IDN,Growing grapes industry,XAF,0.0,SAU,2019
43,IDN,Growing fruits and nuts industry,XAF,0.000308226921307968,SAU,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.942704491339123e-05,SAU,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,0.00025981985372267865,SAU,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,SAU,2019
47,IDN,Raising of cattle industry,XAF,0.00014067847153913696,SAU,2019
48,IDN,Growing wheat industry,XAS,0.0,SAU,2019
49,IDN,Growing maize industry,XAS,0.0006649372795291971,SAU,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,SAU,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0012529327369679485,SAU,2019
52,IDN,Growing rice industry,XAS,2.24784482616743e-06,SAU,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,SAU,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,SAU,2019
55,IDN,Growing tobacco industry,XAS,5.6148822625071365e-05,SAU,2019
56,IDN,Growing fibre crops industry,XAS,2.7089677017709515e-06,SAU,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,SAU,2019
58,IDN,Growing grapes industry,XAS,0.0,SAU,2019
59,IDN,Growing fruits and nuts industry,XAS,0.0005032530951206173,SAU,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,4.214609464221962e-05,SAU,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0005811231920917138,SAU,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,SAU,2019
63,IDN,Raising of cattle industry,XAS,0.00018943669155243583,SAU,2019
64,IDN,Growing wheat industry,AFG,0.0,SAU,2019
65,IDN,Growing maize industry,AFG,0.00048130805231963935,SAU,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,SAU,2019
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0011762634753804862,SAU,2019
68,IDN,Growing rice industry,AFG,1.9712703106676154e-06,SAU,2019
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,SAU,2019
