,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,TCD,2019
1,IDN,Growing maize industry,XAM,6.24130843349011e-06,TCD,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,TCD,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,3.105968674408181e-05,TCD,2019
4,IDN,Growing rice industry,XAM,5.303279449658694e-08,TCD,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,TCD,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,TCD,2019
7,IDN,Growing tobacco industry,XAM,1.0282241325419112e-06,TCD,2019
8,IDN,Growing fibre crops industry,XAM,2.9553309209836388e-08,TCD,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,TCD,2019
10,IDN,Growing grapes industry,XAM,0.0,TCD,2019
11,IDN,Growing fruits and nuts industry,XAM,4.1522596079822505e-06,TCD,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,7.863157111483833e-07,TCD,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,9.061437987478934e-07,TCD,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,TCD,2019
15,IDN,Raising of cattle industry,XAM,3.6956258640559063e-06,TCD,2019
16,IDN,Growing wheat industry,XEU,0.0,TCD,2019
17,IDN,Growing maize industry,XEU,1.387038393253322e-06,TCD,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,TCD,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,7.1672668001474174e-06,TCD,2019
20,IDN,Growing rice industry,XEU,1.1547788691094104e-08,TCD,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,TCD,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,TCD,2019
23,IDN,Growing tobacco industry,XEU,1.9662339219753422e-07,TCD,2019
24,IDN,Growing fibre crops industry,XEU,6.941877909085305e-09,TCD,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,TCD,2019
26,IDN,Growing grapes industry,XEU,0.0,TCD,2019
27,IDN,Growing fruits and nuts industry,XEU,8.926468024126937e-07,TCD,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,2.397750836414604e-07,TCD,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.4384392156590623e-07,TCD,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,TCD,2019
31,IDN,Raising of cattle industry,XEU,8.837052979131579e-07,TCD,2019
32,IDN,Growing wheat industry,XAF,0.0,TCD,2019
33,IDN,Growing maize industry,XAF,5.949863481174204e-06,TCD,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,TCD,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,2.901091931543494e-05,TCD,2019
36,IDN,Growing rice industry,XAF,4.19383430552773e-08,TCD,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,TCD,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,TCD,2019
39,IDN,Growing tobacco industry,XAF,6.0470236650358e-07,TCD,2019
40,IDN,Growing fibre crops industry,XAF,2.73278148272838e-08,TCD,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,TCD,2019
42,IDN,Growing grapes industry,XAF,0.0,TCD,2019
43,IDN,Growing fruits and nuts industry,XAF,3.1818338854286107e-06,TCD,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,6.140204329496898e-07,TCD,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.236631429572895e-07,TCD,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,TCD,2019
47,IDN,Raising of cattle industry,XAF,3.918636950949213e-06,TCD,2019
48,IDN,Growing wheat industry,XAS,0.0,TCD,2019
49,IDN,Growing maize industry,XAS,0.000331382790152342,TCD,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,TCD,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.002512006086086295,TCD,2019
52,IDN,Growing rice industry,XAS,3.0273355734991307e-06,TCD,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,TCD,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,TCD,2019
55,IDN,Growing tobacco industry,XAS,2.9920702776275557e-05,TCD,2019
56,IDN,Growing fibre crops industry,XAS,1.120652542366543e-06,TCD,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,TCD,2019
58,IDN,Growing grapes industry,XAS,0.0,TCD,2019
59,IDN,Growing fruits and nuts industry,XAS,0.00023954294013735623,TCD,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,7.746971043995587e-05,TCD,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.818322833777297e-05,TCD,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,TCD,2019
63,IDN,Raising of cattle industry,XAS,0.0001704685470769119,TCD,2019
64,IDN,Growing wheat industry,AFG,0.0,TCD,2019
65,IDN,Growing maize industry,AFG,1.1322104241029273e-06,TCD,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,TCD,2019
67,IDN,Growing leguminous crops and oil seeds industry,AFG,5.91615022674937e-06,TCD,2019
68,IDN,Growing rice industry,AFG,9.295516604532682e-09,TCD,2019
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,TCD,2019
