,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,VEN,2019
1,IDN,Growing maize industry,XAM,0.0003918089112390112,VEN,2019
2,IDN,Growing cereals n.e.c industry,XAM,0.0,VEN,2019
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.00341973944166052,VEN,2019
4,IDN,Growing rice industry,XAM,6.007659533517372e-06,VEN,2019
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,VEN,2019
6,IDN,Growing sugar beet and cane industry,XAM,0.0,VEN,2019
7,IDN,Growing tobacco industry,XAM,8.556276915478917e-05,VEN,2019
8,IDN,Growing fibre crops industry,XAM,3.0697553143481235e-06,VEN,2019
9,IDN,Growing crops n.e.c. industry,XAM,0.0,VEN,2019
10,IDN,Growing grapes industry,XAM,0.0,VEN,2019
11,IDN,Growing fruits and nuts industry,XAM,0.0005347715430762491,VEN,2019
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,2.6818788043071292e-05,VEN,2019
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0012489714967904113,VEN,2019
14,IDN,Seeds and plant propagation industry,XAM,0.0,VEN,2019
15,IDN,Raising of cattle industry,XAM,0.0002717270064721266,VEN,2019
16,IDN,Growing wheat industry,XEU,0.0,VEN,2019
17,IDN,Growing maize industry,XEU,6.429812271253692e-05,VEN,2019
18,IDN,Growing cereals n.e.c industry,XEU,0.0,VEN,2019
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0004596315551325546,VEN,2019
20,IDN,Growing rice industry,XEU,8.442103612718972e-07,VEN,2019
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,VEN,2019
22,IDN,Growing sugar beet and cane industry,XEU,0.0,VEN,2019
23,IDN,Growing tobacco industry,XEU,2.0038790278392297e-05,VEN,2019
24,IDN,Growing fibre crops industry,XEU,7.154428302605048e-07,VEN,2019
25,IDN,Growing crops n.e.c. industry,XEU,0.0,VEN,2019
26,IDN,Growing grapes industry,XEU,0.0,VEN,2019
27,IDN,Growing fruits and nuts industry,XEU,5.481930367922692e-05,VEN,2019
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,6.6524279613279865e-06,VEN,2019
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,9.30128324617479e-05,VEN,2019
30,IDN,Seeds and plant propagation industry,XEU,0.0,VEN,2019
31,IDN,Raising of cattle industry,XEU,6.911848638570713e-05,VEN,2019
32,IDN,Growing wheat industry,XAF,0.0,VEN,2019
33,IDN,Growing maize industry,XAF,7.456469823658413e-06,VEN,2019
34,IDN,Growing cereals n.e.c industry,XAF,0.0,VEN,2019
35,IDN,Growing leguminous crops and oil seeds industry,XAF,6.305227771555046e-05,VEN,2019
36,IDN,Growing rice industry,XAF,1.080378232300656e-07,VEN,2019
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,VEN,2019
38,IDN,Growing sugar beet and cane industry,XAF,0.0,VEN,2019
39,IDN,Growing tobacco industry,XAF,2.320806990108187e-06,VEN,2019
40,IDN,Growing fibre crops industry,XAF,7.616393835962355e-08,VEN,2019
41,IDN,Growing crops n.e.c. industry,XAF,0.0,VEN,2019
42,IDN,Growing grapes industry,XAF,0.0,VEN,2019
43,IDN,Growing fruits and nuts industry,XAF,7.039757962066072e-06,VEN,2019
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,7.922043360280019e-07,VEN,2019
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.955301678401737e-06,VEN,2019
46,IDN,Seeds and plant propagation industry,XAF,0.0,VEN,2019
47,IDN,Raising of cattle industry,XAF,7.294355574439208e-06,VEN,2019
48,IDN,Growing wheat industry,XAS,0.0,VEN,2019
49,IDN,Growing maize industry,XAS,7.530253356689985e-06,VEN,2019
50,IDN,Growing cereals n.e.c industry,XAS,0.0,VEN,2019
51,IDN,Growing leguminous crops and oil seeds industry,XAS,5.681869471367032e-05,VEN,2019
52,IDN,Growing rice industry,XAS,1.0701623671041169e-07,VEN,2019
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,VEN,2019
54,IDN,Growing sugar beet and cane industry,XAS,0.0,VEN,2019
55,IDN,Growing tobacco industry,XAS,2.5381858675773417e-06,VEN,2019
56,IDN,Growing fibre crops industry,XAS,7.948564192370278e-08,VEN,2019
57,IDN,Growing crops n.e.c. industry,XAS,0.0,VEN,2019
58,IDN,Growing grapes industry,XAS,0.0,VEN,2019
59,IDN,Growing fruits and nuts industry,XAS,6.992717062265244e-06,VEN,2019
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,7.750330124493058e-07,VEN,2019
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,8.687616634591958e-06,VEN,2019
62,IDN,Seeds and plant propagation industry,XAS,0.0,VEN,2019
63,IDN,Raising of cattle industry,XAS,7.532484697817711e-06,VEN,2019
64,IDN,Growing wheat industry,AFG,0.0,VEN,2019
65,IDN,Growing maize industry,AFG,1.6979329396130389e-06,VEN,2019
66,IDN,Growing cereals n.e.c industry,AFG,0.0,VEN,2019
