,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,AFG,2017
1,IDN,Growing maize industry,XAM,1.2717279046592684e-05,AFG,2017
2,IDN,Growing cereals n.e.c industry,XAM,0.0,AFG,2017
3,IDN,Growing leguminous crops and oil seeds industry,XAM,2.5737894426529136e-05,AFG,2017
4,IDN,Growing rice industry,XAM,1.2428712267885428e-08,AFG,2017
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,AFG,2017
6,IDN,Growing sugar beet and cane industry,XAM,0.0,AFG,2017
7,IDN,Growing tobacco industry,XAM,1.5164608580315277e-07,AFG,2017
8,IDN,Growing fibre crops industry,XAM,3.308452865472669e-09,AFG,2017
9,IDN,Growing crops n.e.c. industry,XAM,2.107608127682877e-08,AFG,2017
10,IDN,Growing grapes industry,XAM,0.0,AFG,2017
11,IDN,Growing fruits and nuts industry,XAM,8.476270008155865e-06,AFG,2017
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.9976337267559143e-07,AFG,2017
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,1.728698540828998e-05,AFG,2017
14,IDN,Seeds and plant propagation industry,XAM,0.0,AFG,2017
15,IDN,Raising of cattle industry,XAM,2.248163065885158e-06,AFG,2017
16,IDN,Growing wheat industry,XEU,0.0,AFG,2017
17,IDN,Growing maize industry,XEU,4.34855535986087e-06,AFG,2017
18,IDN,Growing cereals n.e.c industry,XEU,0.0,AFG,2017
19,IDN,Growing leguminous crops and oil seeds industry,XEU,1.2004810875492417e-05,AFG,2017
20,IDN,Growing rice industry,XEU,4.747374379131971e-09,AFG,2017
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,AFG,2017
22,IDN,Growing sugar beet and cane industry,XEU,0.0,AFG,2017
23,IDN,Growing tobacco industry,XEU,6.7112633731186e-08,AFG,2017
24,IDN,Growing fibre crops industry,XEU,1.882037189578793e-09,AFG,2017
25,IDN,Growing crops n.e.c. industry,XEU,6.843110615971715e-09,AFG,2017
26,IDN,Growing grapes industry,XEU,0.0,AFG,2017
27,IDN,Growing fruits and nuts industry,XEU,6.067935340193446e-07,AFG,2017
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,9.099073480384458e-08,AFG,2017
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,2.4048122627072215e-07,AFG,2017
30,IDN,Seeds and plant propagation industry,XEU,0.0,AFG,2017
31,IDN,Raising of cattle industry,XEU,8.960296809464375e-07,AFG,2017
32,IDN,Growing wheat industry,XAF,0.0,AFG,2017
33,IDN,Growing maize industry,XAF,9.899718384606606e-06,AFG,2017
34,IDN,Growing cereals n.e.c industry,XAF,0.0,AFG,2017
35,IDN,Growing leguminous crops and oil seeds industry,XAF,2.0086528698952328e-05,AFG,2017
36,IDN,Growing rice industry,XAF,1.3341118449118918e-08,AFG,2017
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,AFG,2017
38,IDN,Growing sugar beet and cane industry,XAF,0.0,AFG,2017
39,IDN,Growing tobacco industry,XAF,8.343534145501727e-08,AFG,2017
40,IDN,Growing fibre crops industry,XAF,2.1033818981907893e-09,AFG,2017
41,IDN,Growing crops n.e.c. industry,XAF,1.194787689566489e-08,AFG,2017
42,IDN,Growing grapes industry,XAF,0.0,AFG,2017
43,IDN,Growing fruits and nuts industry,XAF,1.0037864810531644e-05,AFG,2017
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,9.470583328502541e-08,AFG,2017
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,5.987726566998442e-06,AFG,2017
46,IDN,Seeds and plant propagation industry,XAF,0.0,AFG,2017
47,IDN,Raising of cattle industry,XAF,1.6602670902170317e-06,AFG,2017
48,IDN,Growing wheat industry,XAS,0.0,AFG,2017
49,IDN,Growing maize industry,XAS,9.853779922764533e-06,AFG,2017
50,IDN,Growing cereals n.e.c industry,XAS,0.0,AFG,2017
51,IDN,Growing leguminous crops and oil seeds industry,XAS,1.7929752129020354e-05,AFG,2017
52,IDN,Growing rice industry,XAS,7.465738609485172e-09,AFG,2017
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,AFG,2017
54,IDN,Growing sugar beet and cane industry,XAS,0.0,AFG,2017
55,IDN,Growing tobacco industry,XAS,7.227085102211484e-08,AFG,2017
56,IDN,Growing fibre crops industry,XAS,4.195762006755018e-09,AFG,2017
57,IDN,Growing crops n.e.c. industry,XAS,1.0648518323876522e-08,AFG,2017
58,IDN,Growing grapes industry,XAS,0.0,AFG,2017
59,IDN,Growing fruits and nuts industry,XAS,2.0442435719077907e-06,AFG,2017
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,9.779673915234423e-08,AFG,2017
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.67442680734872e-07,AFG,2017
62,IDN,Seeds and plant propagation industry,XAS,0.0,AFG,2017
63,IDN,Raising of cattle industry,XAS,1.7586482001668427e-06,AFG,2017
64,IDN,Growing wheat industry,AFG,0.0,AFG,2017
65,IDN,Growing maize industry,AFG,0.0,AFG,2017
66,IDN,Growing cereals n.e.c industry,AFG,0.0,AFG,2017
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0,AFG,2017
68,IDN,Growing rice industry,AFG,0.0,AFG,2017
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,AFG,2017
70,IDN,Growing sugar beet and cane industry,AFG,0.0,AFG,2017
71,IDN,Growing tobacco industry,AFG,0.0,AFG,2017
72,IDN,Growing fibre crops industry,AFG,0.0,AFG,2017
73,IDN,Growing crops n.e.c. industry,AFG,0.0,AFG,2017
74,IDN,Growing grapes industry,AFG,0.0,AFG,2017
75,IDN,Growing fruits and nuts industry,AFG,0.0,AFG,2017
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,0.0,AFG,2017
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,0.0,AFG,2017
78,IDN,Seeds and plant propagation industry,AFG,0.0,AFG,2017
79,IDN,Raising of cattle industry,AFG,0.0,AFG,2017
80,IDN,Growing wheat industry,AGO,0.0,AFG,2017
81,IDN,Growing maize industry,AGO,3.46229856450976e-05,AFG,2017
82,IDN,Growing cereals n.e.c industry,AGO,0.0,AFG,2017
83,IDN,Growing leguminous crops and oil seeds industry,AGO,7.273341452630503e-05,AFG,2017
84,IDN,Growing rice industry,AGO,3.075642398891432e-08,AFG,2017
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,AFG,2017
86,IDN,Growing sugar beet and cane industry,AGO,0.0,AFG,2017
87,IDN,Growing tobacco industry,AGO,3.859956467170469e-07,AFG,2017
88,IDN,Growing fibre crops industry,AGO,7.1296909971012886e-09,AFG,2017
89,IDN,Growing crops n.e.c. industry,AGO,4.490050590011358e-08,AFG,2017
90,IDN,Growing grapes industry,AGO,0.0,AFG,2017
91,IDN,Growing fruits and nuts industry,AGO,1.513528361232284e-05,AFG,2017
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,4.694194841319489e-07,AFG,2017
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,5.300531217662289e-06,AFG,2017
94,IDN,Seeds and plant propagation industry,AGO,0.0,AFG,2017
95,IDN,Raising of cattle industry,AGO,5.48745256279628e-06,AFG,2017
96,IDN,Growing wheat industry,ALB,0.0,AFG,2017
97,IDN,Growing maize industry,ALB,1.3406704683176987e-06,AFG,2017
98,IDN,Growing cereals n.e.c industry,ALB,0.0,AFG,2017
99,IDN,Growing leguminous crops and oil seeds industry,ALB,2.591492098059353e-06,AFG,2017
100,IDN,Growing rice industry,ALB,1.1921389840360442e-09,AFG,2017
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,AFG,2017
102,IDN,Growing sugar beet and cane industry,ALB,0.0,AFG,2017
103,IDN,Growing tobacco industry,ALB,1.1721316507437166e-08,AFG,2017
104,IDN,Growing fibre crops industry,ALB,3.611641686746701e-10,AFG,2017
105,IDN,Growing crops n.e.c. industry,ALB,1.7263985542915684e-09,AFG,2017
106,IDN,Growing grapes industry,ALB,0.0,AFG,2017
107,IDN,Growing fruits and nuts industry,ALB,1.0554457312560005e-06,AFG,2017
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,1.5527484963450184e-08,AFG,2017
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,4.949108834798739e-07,AFG,2017
110,IDN,Seeds and plant propagation industry,ALB,0.0,AFG,2017
111,IDN,Raising of cattle industry,ALB,2.3488213770483038e-07,AFG,2017
112,IDN,Growing wheat industry,ARE,0.0,AFG,2017
113,IDN,Growing maize industry,ARE,0.0010788777374237518,AFG,2017
114,IDN,Growing cereals n.e.c industry,ARE,0.0,AFG,2017
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.0021781961256937777,AFG,2017
116,IDN,Growing rice industry,ARE,9.712620468189465e-07,AFG,2017
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,AFG,2017
118,IDN,Growing sugar beet and cane industry,ARE,0.0,AFG,2017
