,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,ARG,2017
1,IDN,Growing maize industry,XAM,0.0011496792713476573,ARG,2017
2,IDN,Growing cereals n.e.c industry,XAM,0.0,ARG,2017
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0026273295322775275,ARG,2017
4,IDN,Growing rice industry,XAM,2.2078839011235385e-06,ARG,2017
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,ARG,2017
6,IDN,Growing sugar beet and cane industry,XAM,0.0,ARG,2017
7,IDN,Growing tobacco industry,XAM,0.0002489018185403856,ARG,2017
8,IDN,Growing fibre crops industry,XAM,8.391986868714264e-07,ARG,2017
9,IDN,Growing crops n.e.c. industry,XAM,9.769099236000835e-06,ARG,2017
10,IDN,Growing grapes industry,XAM,0.0,ARG,2017
11,IDN,Growing fruits and nuts industry,XAM,0.000253698720590788,ARG,2017
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,7.73614735449109e-06,ARG,2017
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.0005723720060889592,ARG,2017
14,IDN,Seeds and plant propagation industry,XAM,0.0,ARG,2017
15,IDN,Raising of cattle industry,XAM,0.0004927245108949359,ARG,2017
16,IDN,Growing wheat industry,XEU,0.0,ARG,2017
17,IDN,Growing maize industry,XEU,9.5376720215342e-05,ARG,2017
18,IDN,Growing cereals n.e.c industry,XEU,0.0,ARG,2017
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.0003959636601557604,ARG,2017
20,IDN,Growing rice industry,XEU,2.0149644361935233e-07,ARG,2017
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,ARG,2017
22,IDN,Growing sugar beet and cane industry,XEU,0.0,ARG,2017
23,IDN,Growing tobacco industry,XEU,2.03468398455981e-06,ARG,2017
24,IDN,Growing fibre crops industry,XEU,5.131135793704314e-07,ARG,2017
25,IDN,Growing crops n.e.c. industry,XEU,1.0239746049711805e-06,ARG,2017
26,IDN,Growing grapes industry,XEU,0.0,ARG,2017
27,IDN,Growing fruits and nuts industry,XEU,1.619411940885966e-05,ARG,2017
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,7.988225599403547e-07,ARG,2017
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.574122148799547e-05,ARG,2017
30,IDN,Seeds and plant propagation industry,XEU,0.0,ARG,2017
31,IDN,Raising of cattle industry,XEU,5.804710015696689e-05,ARG,2017
32,IDN,Growing wheat industry,XAF,0.0,ARG,2017
33,IDN,Growing maize industry,XAF,0.00025182843310633373,ARG,2017
34,IDN,Growing cereals n.e.c industry,XAF,0.0,ARG,2017
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0005408198072116111,ARG,2017
36,IDN,Growing rice industry,XAF,6.311782213295073e-07,ARG,2017
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,ARG,2017
38,IDN,Growing sugar beet and cane industry,XAF,0.0,ARG,2017
39,IDN,Growing tobacco industry,XAF,2.2087428914998394e-05,ARG,2017
40,IDN,Growing fibre crops industry,XAF,3.722154224383082e-07,ARG,2017
41,IDN,Growing crops n.e.c. industry,XAF,1.447277822130446e-06,ARG,2017
42,IDN,Growing grapes industry,XAF,0.0,ARG,2017
43,IDN,Growing fruits and nuts industry,XAF,3.928586663722023e-05,ARG,2017
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,1.2626682454883614e-06,ARG,2017
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,9.390838065042063e-05,ARG,2017
46,IDN,Seeds and plant propagation industry,XAF,0.0,ARG,2017
47,IDN,Raising of cattle industry,XAF,8.141415340888219e-05,ARG,2017
48,IDN,Growing wheat industry,XAS,0.0,ARG,2017
49,IDN,Growing maize industry,XAS,0.00015686990052632933,ARG,2017
50,IDN,Growing cereals n.e.c industry,XAS,0.0,ARG,2017
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.00033028736330485546,ARG,2017
52,IDN,Growing rice industry,XAS,5.546386145822031e-07,ARG,2017
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,ARG,2017
54,IDN,Growing sugar beet and cane industry,XAS,0.0,ARG,2017
55,IDN,Growing tobacco industry,XAS,6.586710877833938e-06,ARG,2017
56,IDN,Growing fibre crops industry,XAS,1.652675994969783e-07,ARG,2017
57,IDN,Growing crops n.e.c. industry,XAS,1.1695718288729245e-06,ARG,2017
58,IDN,Growing grapes industry,XAS,0.0,ARG,2017
59,IDN,Growing fruits and nuts industry,XAS,3.300853381166209e-05,ARG,2017
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,9.256615196553883e-07,ARG,2017
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,6.681454489384885e-05,ARG,2017
62,IDN,Seeds and plant propagation industry,XAS,0.0,ARG,2017
63,IDN,Raising of cattle industry,XAS,6.0141080588457795e-05,ARG,2017
64,IDN,Growing wheat industry,AFG,0.0,ARG,2017
65,IDN,Growing maize industry,AFG,3.085599535256319e-05,ARG,2017
66,IDN,Growing cereals n.e.c industry,AFG,0.0,ARG,2017
67,IDN,Growing leguminous crops and oil seeds industry,AFG,8.305000573071358e-05,ARG,2017
68,IDN,Growing rice industry,AFG,8.837262769836696e-08,ARG,2017
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,ARG,2017
70,IDN,Growing sugar beet and cane industry,AFG,0.0,ARG,2017
71,IDN,Growing tobacco industry,AFG,1.2656672383046263e-06,ARG,2017
72,IDN,Growing fibre crops industry,AFG,4.251016605122448e-08,ARG,2017
73,IDN,Growing crops n.e.c. industry,AFG,2.86768000313933e-07,ARG,2017
74,IDN,Growing grapes industry,AFG,0.0,ARG,2017
75,IDN,Growing fruits and nuts industry,AFG,4.065848531150411e-06,ARG,2017
