,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,BHR,2017
1,IDN,Growing maize industry,XAM,0.006108425715456226,BHR,2017
2,IDN,Growing cereals n.e.c industry,XAM,0.0,BHR,2017
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.002606470952602894,BHR,2017
4,IDN,Growing rice industry,XAM,2.5915454613316517e-06,BHR,2017
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,BHR,2017
6,IDN,Growing sugar beet and cane industry,XAM,0.0,BHR,2017
7,IDN,Growing tobacco industry,XAM,3.817796167865106e-05,BHR,2017
8,IDN,Growing fibre crops industry,XAM,8.500777500781451e-07,BHR,2017
9,IDN,Growing crops n.e.c. industry,XAM,2.981848956651498e-06,BHR,2017
10,IDN,Growing grapes industry,XAM,0.0,BHR,2017
11,IDN,Growing fruits and nuts industry,XAM,8.351007039683664e-05,BHR,2017
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,1.8894008910210164e-05,BHR,2017
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,6.055504102512928e-05,BHR,2017
14,IDN,Seeds and plant propagation industry,XAM,0.0,BHR,2017
15,IDN,Raising of cattle industry,XAM,0.00039851812522505607,BHR,2017
16,IDN,Growing wheat industry,XEU,0.0,BHR,2017
17,IDN,Growing maize industry,XEU,0.0006250527400207699,BHR,2017
18,IDN,Growing cereals n.e.c industry,XEU,0.0,BHR,2017
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00027431401207151756,BHR,2017
20,IDN,Growing rice industry,XEU,2.326803368989285e-07,BHR,2017
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,BHR,2017
22,IDN,Growing sugar beet and cane industry,XEU,0.0,BHR,2017
23,IDN,Growing tobacco industry,XEU,3.1853498560303884e-06,BHR,2017
24,IDN,Growing fibre crops industry,XEU,1.0709184969748013e-07,BHR,2017
25,IDN,Growing crops n.e.c. industry,XEU,2.939150742718642e-07,BHR,2017
26,IDN,Growing grapes industry,XEU,0.0,BHR,2017
27,IDN,Growing fruits and nuts industry,XEU,7.757759194268196e-06,BHR,2017
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.530142122376477e-06,BHR,2017
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,5.876780176583666e-06,BHR,2017
30,IDN,Seeds and plant propagation industry,XEU,0.0,BHR,2017
31,IDN,Raising of cattle industry,XEU,4.307782029787335e-05,BHR,2017
32,IDN,Growing wheat industry,XAF,0.0,BHR,2017
33,IDN,Growing maize industry,XAF,0.0019134833799040387,BHR,2017
34,IDN,Growing cereals n.e.c industry,XAF,0.0,BHR,2017
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.0011020231331213648,BHR,2017
36,IDN,Growing rice industry,XAF,8.338608850046783e-07,BHR,2017
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,BHR,2017
38,IDN,Growing sugar beet and cane industry,XAF,0.0,BHR,2017
39,IDN,Growing tobacco industry,XAF,1.0154393750302672e-05,BHR,2017
40,IDN,Growing fibre crops industry,XAF,3.590969075694206e-07,BHR,2017
41,IDN,Growing crops n.e.c. industry,XAF,9.484868648813961e-07,BHR,2017
42,IDN,Growing grapes industry,XAF,0.0,BHR,2017
43,IDN,Growing fruits and nuts industry,XAF,3.150136094622667e-05,BHR,2017
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,4.68272091024589e-06,BHR,2017
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,2.5025067685490664e-05,BHR,2017
46,IDN,Seeds and plant propagation industry,XAF,0.0,BHR,2017
47,IDN,Raising of cattle industry,XAF,0.0001385316913573204,BHR,2017
48,IDN,Growing wheat industry,XAS,0.0,BHR,2017
49,IDN,Growing maize industry,XAS,0.0025563835989649173,BHR,2017
50,IDN,Growing cereals n.e.c industry,XAS,0.0,BHR,2017
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0015668999461045038,BHR,2017
52,IDN,Growing rice industry,XAS,1.2192957411108281e-06,BHR,2017
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,BHR,2017
54,IDN,Growing sugar beet and cane industry,XAS,0.0,BHR,2017
55,IDN,Growing tobacco industry,XAS,1.6723052219470585e-05,BHR,2017
56,IDN,Growing fibre crops industry,XAS,4.6492633197655694e-07,BHR,2017
57,IDN,Growing crops n.e.c. industry,XAS,1.4023095535954855e-06,BHR,2017
58,IDN,Growing grapes industry,XAS,0.0,BHR,2017
59,IDN,Growing fruits and nuts industry,XAS,4.7272572503027675e-05,BHR,2017
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,7.831965014504335e-06,BHR,2017
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,3.531953652232402e-05,BHR,2017
62,IDN,Seeds and plant propagation industry,XAS,0.0,BHR,2017
63,IDN,Raising of cattle industry,XAS,0.00019841704697534052,BHR,2017
64,IDN,Growing wheat industry,AFG,0.0,BHR,2017
65,IDN,Growing maize industry,AFG,0.0011289142451665277,BHR,2017
66,IDN,Growing cereals n.e.c industry,AFG,0.0,BHR,2017
67,IDN,Growing leguminous crops and oil seeds industry,AFG,0.0006634039585346981,BHR,2017
68,IDN,Growing rice industry,AFG,4.447030392676535e-07,BHR,2017
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,BHR,2017
70,IDN,Growing sugar beet and cane industry,AFG,0.0,BHR,2017
71,IDN,Growing tobacco industry,AFG,4.608549646305435e-06,BHR,2017
72,IDN,Growing fibre crops industry,AFG,3.872630529100556e-07,BHR,2017
73,IDN,Growing crops n.e.c. industry,AFG,5.201694248151828e-07,BHR,2017
74,IDN,Growing grapes industry,AFG,0.0,BHR,2017
75,IDN,Growing fruits and nuts industry,AFG,1.815369149164615e-05,BHR,2017
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,2.1944512352265993e-06,BHR,2017
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,1.337757337244375e-05,BHR,2017
78,IDN,Seeds and plant propagation industry,AFG,0.0,BHR,2017
79,IDN,Raising of cattle industry,AFG,9.81372286217418e-05,BHR,2017
