,Origin_country,Origin_Sector,Destination_country,value,Transition_country,Year
0,IDN,Growing wheat industry,XAM,0.0,XAS,2017
1,IDN,Growing maize industry,XAM,0.011484486571942872,XAS,2017
2,IDN,Growing cereals n.e.c industry,XAM,0.0,XAS,2017
3,IDN,Growing leguminous crops and oil seeds industry,XAM,0.0024802170668224593,XAS,2017
4,IDN,Growing rice industry,XAM,0.0009036240019037379,XAS,2017
5,IDN,"Growing vegetables, roots, tubers industry",XAM,0.0,XAS,2017
6,IDN,Growing sugar beet and cane industry,XAM,0.0,XAS,2017
7,IDN,Growing tobacco industry,XAM,8.599441428032895e-07,XAS,2017
8,IDN,Growing fibre crops industry,XAM,2.276669025277053e-08,XAS,2017
9,IDN,Growing crops n.e.c. industry,XAM,4.72446581320225e-06,XAS,2017
10,IDN,Growing grapes industry,XAM,0.0,XAS,2017
11,IDN,Growing fruits and nuts industry,XAM,0.00020208337360978009,XAS,2017
12,IDN,"Growing beverage crops (coffee, tea etc) industry",XAM,3.330649262951037e-06,XAS,2017
13,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAM,0.00011098602908173787,XAS,2017
14,IDN,Seeds and plant propagation industry,XAM,0.0,XAS,2017
15,IDN,Raising of cattle industry,XAM,0.00011027846926033243,XAS,2017
16,IDN,Growing wheat industry,XEU,0.0,XAS,2017
17,IDN,Growing maize industry,XEU,0.00041075829492295373,XAS,2017
18,IDN,Growing cereals n.e.c industry,XEU,0.0,XAS,2017
19,IDN,Growing leguminous crops and oil seeds industry,XEU,0.00029338482258054366,XAS,2017
20,IDN,Growing rice industry,XEU,3.624953918316853e-05,XAS,2017
21,IDN,"Growing vegetables, roots, tubers industry",XEU,0.0,XAS,2017
22,IDN,Growing sugar beet and cane industry,XEU,0.0,XAS,2017
23,IDN,Growing tobacco industry,XEU,3.207212179204597e-07,XAS,2017
24,IDN,Growing fibre crops industry,XEU,6.01835012484237e-09,XAS,2017
25,IDN,Growing crops n.e.c. industry,XEU,4.994401427417921e-07,XAS,2017
26,IDN,Growing grapes industry,XEU,0.0,XAS,2017
27,IDN,Growing fruits and nuts industry,XEU,4.231445544532553e-06,XAS,2017
28,IDN,"Growing beverage crops (coffee, tea etc) industry",XEU,1.0465233991791495e-06,XAS,2017
29,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XEU,3.1071462294934595e-06,XAS,2017
30,IDN,Seeds and plant propagation industry,XEU,0.0,XAS,2017
31,IDN,Raising of cattle industry,XEU,8.980112572086664e-06,XAS,2017
32,IDN,Growing wheat industry,XAF,0.0,XAS,2017
33,IDN,Growing maize industry,XAF,0.040206097604891355,XAS,2017
34,IDN,Growing cereals n.e.c industry,XAF,0.0,XAS,2017
35,IDN,Growing leguminous crops and oil seeds industry,XAF,0.007454292516868528,XAS,2017
36,IDN,Growing rice industry,XAF,0.004374647959052797,XAS,2017
37,IDN,"Growing vegetables, roots, tubers industry",XAF,0.0,XAS,2017
38,IDN,Growing sugar beet and cane industry,XAF,0.0,XAS,2017
39,IDN,Growing tobacco industry,XAF,4.404151526005151e-06,XAS,2017
40,IDN,Growing fibre crops industry,XAF,7.616321523735761e-08,XAS,2017
41,IDN,Growing crops n.e.c. industry,XAF,1.8584439108627606e-06,XAS,2017
42,IDN,Growing grapes industry,XAF,0.0,XAS,2017
43,IDN,Growing fruits and nuts industry,XAF,0.00031611790968649674,XAS,2017
44,IDN,"Growing beverage crops (coffee, tea etc) industry",XAF,2.128141904415835e-05,XAS,2017
45,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAF,3.673882439799484e-05,XAS,2017
46,IDN,Seeds and plant propagation industry,XAF,0.0,XAS,2017
47,IDN,Raising of cattle industry,XAF,0.0008362009792241218,XAS,2017
48,IDN,Growing wheat industry,XAS,0.0,XAS,2017
49,IDN,Growing maize industry,XAS,0.0,XAS,2017
50,IDN,Growing cereals n.e.c industry,XAS,0.0,XAS,2017
51,IDN,Growing leguminous crops and oil seeds industry,XAS,0.0,XAS,2017
52,IDN,Growing rice industry,XAS,0.0,XAS,2017
53,IDN,"Growing vegetables, roots, tubers industry",XAS,0.0,XAS,2017
54,IDN,Growing sugar beet and cane industry,XAS,0.0,XAS,2017
55,IDN,Growing tobacco industry,XAS,0.0,XAS,2017
56,IDN,Growing fibre crops industry,XAS,0.0,XAS,2017
57,IDN,Growing crops n.e.c. industry,XAS,0.0,XAS,2017
58,IDN,Growing grapes industry,XAS,0.0,XAS,2017
59,IDN,Growing fruits and nuts industry,XAS,0.0,XAS,2017
60,IDN,"Growing beverage crops (coffee, tea etc) industry",XAS,0.0,XAS,2017
61,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",XAS,0.0,XAS,2017
62,IDN,Seeds and plant propagation industry,XAS,0.0,XAS,2017
63,IDN,Raising of cattle industry,XAS,0.0,XAS,2017
64,IDN,Growing wheat industry,AFG,0.0,XAS,2017
65,IDN,Growing maize industry,AFG,7.755110040124516e-05,XAS,2017
66,IDN,Growing cereals n.e.c industry,AFG,0.0,XAS,2017
67,IDN,Growing leguminous crops and oil seeds industry,AFG,7.453892729589634e-05,XAS,2017
68,IDN,Growing rice industry,AFG,6.304081130520168e-06,XAS,2017
69,IDN,"Growing vegetables, roots, tubers industry",AFG,0.0,XAS,2017
70,IDN,Growing sugar beet and cane industry,AFG,0.0,XAS,2017
71,IDN,Growing tobacco industry,AFG,4.0935152017088305e-08,XAS,2017
72,IDN,Growing fibre crops industry,AFG,6.417688905072032e-10,XAS,2017
73,IDN,Growing crops n.e.c. industry,AFG,1.917621223554921e-08,XAS,2017
74,IDN,Growing grapes industry,AFG,0.0,XAS,2017
75,IDN,Growing fruits and nuts industry,AFG,1.5556182212002827e-06,XAS,2017
76,IDN,"Growing beverage crops (coffee, tea etc) industry",AFG,1.701424065861138e-07,XAS,2017
77,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AFG,5.551333378168587e-07,XAS,2017
78,IDN,Seeds and plant propagation industry,AFG,0.0,XAS,2017
79,IDN,Raising of cattle industry,AFG,1.9136949145598447e-06,XAS,2017
80,IDN,Growing wheat industry,AGO,0.0,XAS,2017
81,IDN,Growing maize industry,AGO,8.45563568522274e-05,XAS,2017
82,IDN,Growing cereals n.e.c industry,AGO,0.0,XAS,2017
83,IDN,Growing leguminous crops and oil seeds industry,AGO,6.795828292033006e-05,XAS,2017
84,IDN,Growing rice industry,AGO,3.351680466158484e-06,XAS,2017
85,IDN,"Growing vegetables, roots, tubers industry",AGO,0.0,XAS,2017
86,IDN,Growing sugar beet and cane industry,AGO,0.0,XAS,2017
87,IDN,Growing tobacco industry,AGO,1.5910301413656439e-07,XAS,2017
88,IDN,Growing fibre crops industry,AGO,2.5732697472724493e-09,XAS,2017
89,IDN,Growing crops n.e.c. industry,AGO,1.066570417189368e-07,XAS,2017
90,IDN,Growing grapes industry,AGO,0.0,XAS,2017
91,IDN,Growing fruits and nuts industry,AGO,1.0681393484484766e-06,XAS,2017
92,IDN,"Growing beverage crops (coffee, tea etc) industry",AGO,5.417283381130778e-07,XAS,2017
93,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",AGO,9.999809686245667e-07,XAS,2017
94,IDN,Seeds and plant propagation industry,AGO,0.0,XAS,2017
95,IDN,Raising of cattle industry,AGO,2.9570492504451153e-06,XAS,2017
96,IDN,Growing wheat industry,ALB,0.0,XAS,2017
97,IDN,Growing maize industry,ALB,7.830457703658548e-05,XAS,2017
98,IDN,Growing cereals n.e.c industry,ALB,0.0,XAS,2017
99,IDN,Growing leguminous crops and oil seeds industry,ALB,2.0771394302367353e-05,XAS,2017
100,IDN,Growing rice industry,ALB,5.6402592166321274e-06,XAS,2017
101,IDN,"Growing vegetables, roots, tubers industry",ALB,0.0,XAS,2017
102,IDN,Growing sugar beet and cane industry,ALB,0.0,XAS,2017
103,IDN,Growing tobacco industry,ALB,1.5642559072750126e-08,XAS,2017
104,IDN,Growing fibre crops industry,ALB,3.138727717270016e-10,XAS,2017
105,IDN,Growing crops n.e.c. industry,ALB,2.9483201405571192e-08,XAS,2017
106,IDN,Growing grapes industry,ALB,0.0,XAS,2017
107,IDN,Growing fruits and nuts industry,ALB,1.4993843522669234e-06,XAS,2017
108,IDN,"Growing beverage crops (coffee, tea etc) industry",ALB,5.5123060608848476e-08,XAS,2017
109,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ALB,8.784720177469994e-07,XAS,2017
110,IDN,Seeds and plant propagation industry,ALB,0.0,XAS,2017
111,IDN,Raising of cattle industry,ALB,8.743342006650418e-07,XAS,2017
112,IDN,Growing wheat industry,ARE,0.0,XAS,2017
113,IDN,Growing maize industry,ARE,0.0011262068474882818,XAS,2017
114,IDN,Growing cereals n.e.c industry,ARE,0.0,XAS,2017
115,IDN,Growing leguminous crops and oil seeds industry,ARE,0.0006072022819532029,XAS,2017
116,IDN,Growing rice industry,ARE,6.831140752287022e-05,XAS,2017
117,IDN,"Growing vegetables, roots, tubers industry",ARE,0.0,XAS,2017
118,IDN,Growing sugar beet and cane industry,ARE,0.0,XAS,2017
119,IDN,Growing tobacco industry,ARE,1.2496864122217167e-06,XAS,2017
120,IDN,Growing fibre crops industry,ARE,1.7684465097273886e-08,XAS,2017
121,IDN,Growing crops n.e.c. industry,ARE,8.907423536771034e-07,XAS,2017
122,IDN,Growing grapes industry,ARE,0.0,XAS,2017
123,IDN,Growing fruits and nuts industry,ARE,2.622197962851744e-05,XAS,2017
124,IDN,"Growing beverage crops (coffee, tea etc) industry",ARE,4.435833529810856e-06,XAS,2017
125,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARE,1.588338722093737e-05,XAS,2017
126,IDN,Seeds and plant propagation industry,ARE,0.0,XAS,2017
127,IDN,Raising of cattle industry,ARE,2.416973447894845e-05,XAS,2017
128,IDN,Growing wheat industry,ARG,0.0,XAS,2017
129,IDN,Growing maize industry,ARG,5.160500820859191e-05,XAS,2017
130,IDN,Growing cereals n.e.c industry,ARG,0.0,XAS,2017
131,IDN,Growing leguminous crops and oil seeds industry,ARG,5.113419108254612e-05,XAS,2017
132,IDN,Growing rice industry,ARG,1.0738490675565203e-06,XAS,2017
133,IDN,"Growing vegetables, roots, tubers industry",ARG,0.0,XAS,2017
134,IDN,Growing sugar beet and cane industry,ARG,0.0,XAS,2017
135,IDN,Growing tobacco industry,ARG,1.6299929849747392e-07,XAS,2017
136,IDN,Growing fibre crops industry,ARG,2.3097810059503363e-09,XAS,2017
137,IDN,Growing crops n.e.c. industry,ARG,7.307171351400198e-08,XAS,2017
138,IDN,Growing grapes industry,ARG,0.0,XAS,2017
139,IDN,Growing fruits and nuts industry,ARG,7.056329449802374e-07,XAS,2017
140,IDN,"Growing beverage crops (coffee, tea etc) industry",ARG,4.87635218102797e-07,XAS,2017
141,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARG,7.749373915294185e-07,XAS,2017
142,IDN,Seeds and plant propagation industry,ARG,0.0,XAS,2017
143,IDN,Raising of cattle industry,ARG,2.1928982214196045e-06,XAS,2017
144,IDN,Growing wheat industry,ARM,0.0,XAS,2017
145,IDN,Growing maize industry,ARM,0.000615469401793421,XAS,2017
146,IDN,Growing cereals n.e.c industry,ARM,0.0,XAS,2017
147,IDN,Growing leguminous crops and oil seeds industry,ARM,0.00017945313892020343,XAS,2017
148,IDN,Growing rice industry,ARM,4.677914593431157e-05,XAS,2017
149,IDN,"Growing vegetables, roots, tubers industry",ARM,0.0,XAS,2017
150,IDN,Growing sugar beet and cane industry,ARM,0.0,XAS,2017
151,IDN,Growing tobacco industry,ARM,7.649261895505211e-08,XAS,2017
152,IDN,Growing fibre crops industry,ARM,1.7871040262612893e-09,XAS,2017
153,IDN,Growing crops n.e.c. industry,ARM,2.099310400862398e-07,XAS,2017
154,IDN,Growing grapes industry,ARM,0.0,XAS,2017
155,IDN,Growing fruits and nuts industry,ARM,1.3534421146635097e-05,XAS,2017
156,IDN,"Growing beverage crops (coffee, tea etc) industry",ARM,2.5580338246869196e-07,XAS,2017
157,IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",ARM,6.537480473597739e-06,XAS,2017
158,IDN,Seeds and plant propagation industry,ARM,0.0,XAS,2017
159,IDN,Raising of cattle industry,ARM,7.111736467362148e-06,XAS,2017
160,IDN,Growing wheat industry,AUS,0.0,XAS,2017
161,IDN,Growing maize industry,AUS,0.28764552905825524,XAS,2017
162,IDN,Growing cereals n.e.c industry,AUS,0.0,XAS,2017
163,IDN,Growing leguminous crops and oil seeds industry,AUS,0.4589079345212563,XAS,2017
164,IDN,Growing rice industry,AUS,0.012827689438320236,XAS,2017
165,IDN,"Growing vegetables, roots, tubers industry",AUS,0.0,XAS,2017
166,IDN,Growing sugar beet and cane industry,AUS,0.0,XAS,2017
167,IDN,Growing tobacco industry,AUS,0.0014835399691237097,XAS,2017
168,IDN,Growing fibre crops industry,AUS,4.4672781859921385e-06,XAS,2017
169,IDN,Growing crops n.e.c. industry,AUS,0.00022418060712510465,XAS,2017
