Scenario,Approach,parameter,Iteration,Country,Club,tag,EV,EV_previous_round,Max_Iteration,Bool
Scenario_D,Idealist,qxw,5,mexico,inside,non-producer,23.0569305419922,25.4018173217773,5,yes
Scenario_D,Diplomatic,qo,49,korea,inside,non-producer,60.3947906494141,-143.814590454102,49,yes
Scenario_D,Realistic_wo_china,qo,5,eu27,inside,non-producer,935.40673828125,617.315124511719,5,yes
Scenario_D,Realistic_wo_china,qo,5,mena,outside,non-producer,-232.5927734375,-411.695587158203,5,yes
Scenario_D,Realistic_wi_china,qxw,5,madagascar,outside,non-producer,-17.1598281860352,-15.9955806732178,5,yes
Scenario_D,Diplomatic,qxw,49,mexico,inside,non-producer,170.093414306641,160.286499023438,49,yes
Scenario_D,Realistic_wo_china,qxw,5,canada,inside,non-producer,157.083084106445,179.688812255859,5,yes
Scenario_D,Realistic_wi_china,qxw,5,mena,outside,non-producer,-228.411865234375,-277.098480224609,5,yes
Scenario_D,Idealist,qxw,5,venezuela,inside,non-producer,10.6631832122803,10.2334098815918,5,yes
Scenario_D,Diplomatic,qo,49,us,outside,non-producer,522.217834472656,1441.51904296875,49,yes
Scenario_D,Diplomatic,qo,49,peru,outside,producer,-161.155212402344,-216.406890869141,49,yes
Scenario_D,Idealist,qo,6,uruguay,outside,non-producer,-65.0011291503906,13.1145076751709,6,yes
Scenario_D,Realistic_wi_china,qo,5,ghana,outside,producer,-9.6697359085083,-4.51931953430176,5,yes
Scenario_D,Realistic_wo_china,qoes,4,nigeria,outside,non-producer,-24.0445098876953,4.53685092926025,4,yes
Scenario_D,Idealist,qxw,5,oceania,inside,non-producer,50.3839721679688,53.2580795288086,5,yes
Scenario_D,Realistic_wi_china,qoes,5,india,outside,non-producer,-392.72412109375,-296.297058105469,5,yes
Scenario_D,Diplomatic,qo,49,colombia,outside,producer,-109.061782836914,-128.560913085938,49,yes
Scenario_D,Realistic_wo_china,qxw,5,paraguay,outside,producer,-54.3589744567871,-53.8268203735352,5,yes
Scenario_D,Realistic_wi_china,qxw,5,nigeria,outside,non-producer,-7.98274612426758,7.42343139648438,5,yes
Scenario_D,Diplomatic,qxw,49,us,inside,non-producer,869.451721191406,1122.2392578125,49,yes
Scenario_D,Diplomatic,qoes,4,indonesia,outside,producer,-57.4635696411133,-36.0542945861816,4,yes
Scenario_D,Realistic_wi_china,qo,5,uruguay,inside,non-producer,40.5300445556641,63.8610801696777,5,yes
Scenario_D,Realistic_wi_china,qo,5,china,inside,non-producer,-447.936828613281,-679.537475585938,5,yes
Scenario_D,Diplomatic,qoes,4,uk,inside,non-producer,303.719543457031,225.825790405273,4,yes
Scenario_D,Realistic_wo_china,qoes,4,myanmar,outside,non-producer,-2.94467306137085,-3.9652853012085,4,yes
Scenario_D,Idealist,qo,6,peru,inside,producer,-251.126083374023,-131.956604003906,6,yes
Scenario_D,Realistic_wi_china,qxw,5,eu27,inside,non-producer,1168.32055664062,1328.6826171875,5,yes
Scenario_D,Diplomatic,qoes,4,mexico,inside,non-producer,189.273010253906,199.789138793945,4,yes
Scenario_D,Idealist,qxw,5,china,inside,non-producer,-38.1121826171875,-54.8259811401367,5,yes
Scenario_D,Realistic_wi_china,qo,5,bolivia,outside,producer,-21.2061138153076,-10.6566734313965,5,yes
Scenario_D,Idealist,qo,6,mena,inside,non-producer,339.050567626953,378.184478759766,6,yes
Scenario_D,Realistic_wo_china,qoes,4,russia,outside,non-producer,42.0543441772461,39.3148651123047,4,yes
Scenario_D,Diplomatic,qoes,4,seasia,outside,non-producer,-151.263031005859,-53.3800163269043,4,yes
Scenario_D,Realistic_wi_china,qoes,5,seasia,outside,non-producer,-436.846466064453,-221.964630126953,5,yes
Scenario_D,Realistic_wo_china,qo,5,india,outside,non-producer,-121.436859130859,-94.5193939208984,5,yes
Scenario_D,Realistic_wi_china,qxw,5,indonesia,outside,producer,46.502368927002,43.5605735778809,5,yes
Scenario_D,Idealist,qxw,5,malasya,inside,producer,41.6434555053711,43.5740699768066,5,yes
Scenario_D,Diplomatic,qoes,4,japan,inside,non-producer,121.90763092041,167.318710327148,4,yes
Scenario_D,Realistic_wo_china,qoes,4,ssa,outside,non-producer,-331.367767333984,-251.725631713867,4,yes
Scenario_D,Idealist,qxw,5,russia,inside,non-producer,7.87494850158691,6.58078479766846,5,yes
Scenario_D,Realistic_wo_china,qo,5,argentina,outside,producer,51.1496734619141,107.83154296875,5,yes
Scenario_D,Realistic_wi_china,qxw,5,argentina,outside,producer,51.3007621765137,55.868766784668,5,yes
