Approach,Climate,Club,Country,Iteration,parameter,Scenario,tag,Forest,Max_Iteration
Realistic_wi_china,Tropical,outside,angdrc,5,qxw,Scenario_D,producer,13056.5817871094,5
Realistic_wo_china,Temperate,outside,nigeria,5,qxw,Scenario_D,non-producer,0,5
Idealist,Temperate,inside,mozambique,4,qo,Scenario_D,non-producer,0,6
Realistic_wi_china,Temperate,inside,japan,3,qxw,Scenario_D,non-producer,-7069.91430664063,5
Diplomatic,Temperate,inside,ivorycoast,3,qo,Scenario_D,producer,0,49
Diplomatic,Tropical,outside,mozambique,20,qo,Scenario_D,non-producer,6777.02783203125,49
Diplomatic,Temperate,inside,oceania,26,qxw,Scenario_D,non-producer,-4502.34543609619,49
Diplomatic,Temperate,inside,korea,14,qo,Scenario_D,non-producer,-1151.61123657227,49
Realistic_wo_china,Tropical,outside,peru,1,qxw,Scenario_D,producer,6900.7642364502,5
Diplomatic,Tropical,inside,peru,49,qxw,Scenario_D,producer,9292.4030456543,49
Diplomatic,Temperate,inside,peru,21,qxw,Scenario_D,producer,12878.692779541,49
Diplomatic,Temperate,outside,indonesia,39,qxw,Scenario_D,producer,0,49
Diplomatic,Temperate,outside,venezuela,1,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,ghana,46,qo,Scenario_D,producer,4510.77255249023,49
Realistic_wo_china,Temperate,inside,peru,4,qxw,Scenario_D,producer,12774.6232299805,5
Diplomatic,Tropical,outside,ghana,7,qo,Scenario_D,producer,-48610.7104797363,49
Diplomatic,Temperate,outside,latinamer,29,qo,Scenario_D,non-producer,11529.6721496582,49
Diplomatic,Temperate,inside,oceania,31,qxw,Scenario_D,non-producer,-3876.69345855713,49
Diplomatic,Tropical,outside,indonesia,18,qo,Scenario_D,producer,831.134014219046,49
Diplomatic,Tropical,inside,newzealand,1,qoes,Scenario_D,non-producer,0,4
Diplomatic,Temperate,inside,ghana,45,qxw,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,eastasia,7,qo,Scenario_D,non-producer,445.434045791626,49
Diplomatic,Temperate,outside,madagascar,34,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,restofworld,16,qo,Scenario_D,non-producer,0,49
Diplomatic,Tropical,inside,uruguay,22,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,venezuela,22,qxw,Scenario_D,non-producer,-184.26605963707,49
Realistic_wo_china,Tropical,outside,brasil,0,qoes,Scenario_D,producer,28886.8150634766,4
Diplomatic,Tropical,inside,mexico,23,qo,Scenario_D,non-producer,10884.759439826,49
Diplomatic,Boreal,inside,us,13,qo,Scenario_D,non-producer,-184.344424545765,49
Diplomatic,Boreal,outside,latinamer,9,qxw,Scenario_D,non-producer,4520.82015991211,49
Diplomatic,Temperate,inside,brasil,23,qxw,Scenario_D,producer,-1293.62438964844,49
Diplomatic,Temperate,outside,malasya,5,qxw,Scenario_D,producer,0,49
Diplomatic,Temperate,outside,mozambique,28,qxw,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,southasia,27,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,russia,8,qxw,Scenario_D,non-producer,27186.8447875977,49
Diplomatic,Temperate,inside,korea,32,qo,Scenario_D,non-producer,-1150.55737304688,49
Diplomatic,Temperate,inside,argentina,38,qxw,Scenario_D,producer,2787.11077213287,49
Realistic_wi_china,Tropical,inside,efta,1,qoes,Scenario_D,non-producer,0,5
Diplomatic,Boreal,inside,eu27,5,qo,Scenario_D,non-producer,-11105.7556409836,49
Idealist,Temperate,inside,eu27,4,qo,Scenario_D,non-producer,-234027.069335938,6
Diplomatic,Tropical,outside,malasya,45,qxw,Scenario_D,producer,866.156555175781,49
Diplomatic,Tropical,outside,seasia,9,qxw,Scenario_D,non-producer,27861.5874023438,49
Realistic_wo_china,Tropical,outside,russia,2,qxw,Scenario_D,non-producer,0,5
Realistic_wi_china,Boreal,outside,japan,0,qo,Scenario_D,non-producer,7.42459297180176,5
Diplomatic,Tropical,inside,uk,3,qoes,Scenario_D,non-producer,0,4
Realistic_wi_china,Temperate,inside,eu27,0,qoes,Scenario_D,non-producer,-80305.5551757813,5
Diplomatic,Temperate,inside,peru,40,qxw,Scenario_D,producer,13045.7759246826,49
Realistic_wi_china,Temperate,inside,ghana,0,qxw,Scenario_D,producer,0,5
Diplomatic,Boreal,outside,russia,43,qxw,Scenario_D,non-producer,28900.0042419434,49
Diplomatic,Tropical,inside,efta,5,qo,Scenario_D,non-producer,0,49
Diplomatic,Tropical,inside,peru,4,qo,Scenario_D,producer,8284.01257324219,49
Diplomatic,Tropical,outside,india,32,qo,Scenario_D,non-producer,34192.2279663086,49
Diplomatic,Boreal,outside,malasya,44,qo,Scenario_D,producer,0,49
Diplomatic,Temperate,inside,mexico,28,qxw,Scenario_D,non-producer,-1086.25412750244,49
Diplomatic,Tropical,outside,southasia,42,qo,Scenario_D,non-producer,2154.38877868652,49
Diplomatic,Temperate,outside,venezuela,49,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,eastasia,3,qo,Scenario_D,non-producer,330.146288871765,49
Realistic_wi_china,Tropical,outside,russia,4,qxw,Scenario_D,non-producer,0,5
Diplomatic,Boreal,inside,us,16,qo,Scenario_D,non-producer,-227.771344125271,49
Diplomatic,Tropical,inside,uruguay,12,qo,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,myanmar,15,qxw,Scenario_D,non-producer,2895.86968994141,49
Diplomatic,Boreal,outside,ssa,8,qxw,Scenario_D,non-producer,0,49
Idealist,Temperate,inside,indonesia,2,qo,Scenario_D,producer,0,6
Diplomatic,Temperate,outside,china,6,qo,Scenario_D,non-producer,35676.6764431,49
Diplomatic,Temperate,inside,uruguay,34,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,brasil,21,qxw,Scenario_D,producer,150310.067382813,49
Diplomatic,Boreal,inside,japan,6,qxw,Scenario_D,non-producer,-141.159530639648,49
Realistic_wo_china,Boreal,inside,mexico,2,qxw,Scenario_D,non-producer,0,5
Diplomatic,Tropical,outside,southasia,44,qo,Scenario_D,non-producer,4361.84393310547,49
Diplomatic,Temperate,outside,india,25,qxw,Scenario_D,non-producer,2769.81907653809,49
Diplomatic,Temperate,outside,restofworld,32,qxw,Scenario_D,non-producer,62415.983757019,49
Idealist,Boreal,outside,nigeria,5,qo,Scenario_D,non-producer,0,6
Diplomatic,Boreal,outside,seasia,7,qxw,Scenario_D,non-producer,0,49
Diplomatic,Boreal,inside,bolivia,28,qo,Scenario_D,producer,0,49
Diplomatic,Temperate,outside,myanmar,39,qo,Scenario_D,non-producer,923.31925201416,49
Diplomatic,Tropical,inside,mexico,18,qo,Scenario_D,non-producer,-8843.57295227051,49
Diplomatic,Boreal,outside,malasya,49,qo,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,indonesia,43,qo,Scenario_D,producer,0,49
Realistic_wi_china,Boreal,outside,myanmar,2,qoes,Scenario_D,non-producer,0,5
Diplomatic,Temperate,outside,bolivia,26,qo,Scenario_D,producer,-32810.2056884766,49
Realistic_wi_china,Boreal,outside,argentina,5,qo,Scenario_D,producer,104.443613052368,5
Diplomatic,Boreal,inside,korea,5,qxw,Scenario_D,non-producer,0,49
Idealist,Tropical,inside,uruguay,4,qo,Scenario_D,non-producer,0,6
Diplomatic,Tropical,outside,mena,13,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,inside,us,26,qxw,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,mena,8,qxw,Scenario_D,non-producer,28.7067923545837,49
Realistic_wo_china,Tropical,outside,china,3,qoes,Scenario_D,non-producer,369.734115600586,4
Realistic_wo_china,Boreal,outside,angdrc,3,qo,Scenario_D,producer,0,5
Realistic_wi_china,Tropical,inside,uruguay,2,qxw,Scenario_D,non-producer,0,5
Diplomatic,Tropical,inside,mexico,4,qoes,Scenario_D,non-producer,-27.7886257171631,4
Diplomatic,Temperate,outside,ivorycoast,4,qxw,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,madagascar,44,qxw,Scenario_D,non-producer,0,49
Idealist,Boreal,inside,ghana,0,qo,Scenario_D,producer,0,6
Diplomatic,Tropical,outside,eastasia,31,qxw,Scenario_D,non-producer,314.912139892578,49
Idealist,Temperate,inside,peru,4,qxw,Scenario_D,producer,12858.2270355225,5
Diplomatic,Boreal,outside,angdrc,20,qxw,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,indonesia,41,qxw,Scenario_D,producer,0,49
Diplomatic,Tropical,inside,nigeria,34,qo,Scenario_D,non-producer,-21068.8779296875,49
Diplomatic,Boreal,outside,paraguay,21,qo,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,nigeria,22,qxw,Scenario_D,non-producer,0,49
Diplomatic,Boreal,inside,uk,35,qxw,Scenario_D,non-producer,-37.7282381057739,49
Realistic_wi_china,Tropical,inside,oceania,4,qo,Scenario_D,non-producer,-832.877823829651,5
Diplomatic,Tropical,inside,korea,3,qo,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,bolivia,11,qo,Scenario_D,producer,-308050.787109375,49
Diplomatic,Tropical,outside,angdrc,7,qo,Scenario_D,producer,5337.2873840332,49
Diplomatic,Boreal,inside,us,40,qo,Scenario_D,non-producer,817.092801094055,49
Realistic_wi_china,Temperate,inside,us,3,qxw,Scenario_D,non-producer,-138742.577148438,5
Diplomatic,Tropical,outside,russia,23,qxw,Scenario_D,non-producer,0,49
Diplomatic,Boreal,inside,eu27,0,qo,Scenario_D,non-producer,-6981.53546071053,49
Diplomatic,Temperate,inside,canada,16,qo,Scenario_D,non-producer,-132668.313339233,49
Idealist,Temperate,inside,brasil,0,qxw,Scenario_D,producer,3763.93383789063,5
Diplomatic,Temperate,outside,indonesia,4,qxw,Scenario_D,producer,0,49
Diplomatic,Temperate,inside,efta,33,qxw,Scenario_D,non-producer,-555.307739257813,49
Diplomatic,Tropical,outside,peru,35,qo,Scenario_D,producer,9855.97273254395,49
Diplomatic,Boreal,outside,argentina,47,qo,Scenario_D,producer,193.829933166504,49
Diplomatic,Temperate,outside,brasil,31,qxw,Scenario_D,producer,-1229.65380859375,49
Diplomatic,Temperate,inside,ghana,21,qxw,Scenario_D,producer,0,49
Diplomatic,Temperate,inside,us,7,qxw,Scenario_D,non-producer,-118175.283737183,49
Diplomatic,Boreal,inside,peru,5,qxw,Scenario_D,producer,0,49
Realistic_wo_china,Boreal,outside,india,0,qoes,Scenario_D,non-producer,0,4
Realistic_wi_china,Boreal,inside,korea,4,qxw,Scenario_D,non-producer,0,5
Diplomatic,Tropical,outside,peru,44,qo,Scenario_D,producer,8977.73419189453,49
Diplomatic,Boreal,outside,angdrc,0,qoes,Scenario_D,producer,0,4
Idealist,Boreal,inside,us,3,qxw,Scenario_D,non-producer,581.650579094887,5
Diplomatic,Boreal,outside,canada,0,qoes,Scenario_D,non-producer,504.74871635437,4
Idealist,Temperate,inside,korea,5,qo,Scenario_D,non-producer,-1712.75671386719,6
Diplomatic,Tropical,inside,mexico,29,qo,Scenario_D,non-producer,-10646.7567138672,49
Diplomatic,Temperate,inside,ghana,28,qxw,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,indonesia,12,qo,Scenario_D,producer,0,49
Realistic_wi_china,Tropical,inside,newzealand,3,qxw,Scenario_D,non-producer,0,5
Idealist,Temperate,inside,angdrc,1,qo,Scenario_D,producer,-1462.13415527344,6
Diplomatic,Tropical,outside,india,24,qxw,Scenario_D,non-producer,29230.7808227539,49
Diplomatic,Temperate,inside,newzealand,18,qxw,Scenario_D,non-producer,-3213.55633544922,49
Realistic_wo_china,Boreal,outside,nigeria,5,qo,Scenario_D,non-producer,0,5
Diplomatic,Temperate,inside,peru,6,qxw,Scenario_D,producer,12878.692779541,49
Diplomatic,Tropical,inside,peru,44,qxw,Scenario_D,producer,9181.64358520508,49
Diplomatic,Boreal,outside,india,37,qo,Scenario_D,non-producer,0,49
Idealist,Boreal,inside,eu27,5,qo,Scenario_D,non-producer,18591.3712320328,6
Realistic_wi_china,Tropical,outside,restofworld,0,qxw,Scenario_D,non-producer,0,5
